Q2: Please tell a story about a time when a person or an organization tried to help someone or change something in your community.,Q3: Give your story a title.,Q4: Name the organization or group most involved in what happened.,Q5: What is this story about?,Q7: Where did this story take place? (city or district),Q12: What is your connection to what happened in the story?,Q13: Who benefitted from what happened in the story?,Q19: Which of these relate to your story?,Q37: This story describes a...,,Storyteller ID
She is my friend living with her uncle (husband to her mother's sister). Colline has gone through hell. She had had a mother who was a matron in the high school where she was for her secondary school education. She could not tell anyone that that was her real mother just because they did not want people to know it and also the mother was sick. She was born out of wedlock and so did not know her dad. The mother later died and so she had no otherwise but to open up and explain the story to the people. It was later realised that the lady was being sponsored by director of that school and she did not want him to know for fear that he would stop surporting her. The director was very sorry for her and decided to educate her even to University level.,Fear of the Unknown,Individual,,KAKAMEGA,Saw it happen,The right people,,Good idea that succeeded,,608
"My friend lost his father when he was in his second year in high school. He remained with his mother only. He thought that his mother was worthless and could not control him any more. he went into drugs and opted to drop out of school. His mother gave up on him and did not care about whatever she did. He got into trouble most of the times and he was in and out of police cells weekly. One day I approached him, he played hard to get but I did not give up. On the second trial he gave me chance to speak to him. I only realized he was willing to change but there no one to give him moral and psychological support he wanted. From the day I spoke to him, he changed totally and did away with drugs. Right now he is a third year student in a government university studying medicine.",Ask why?,Individual,,KAKAMEGA,Helped make it happen,Mixed,,Bad idea that failed,,609
"There is this girl my neighbourhood who has both parents but separated. She stays with mother and a step father since the mother got married to another man. They are not able financially yet the girl is very clever. She joined Masinde Muliro University of science and technology in 2009 as a second year since she had taken her diploma in the same institution and got a 1st credit. The lady did not manage to pay her fees for her degree programe. She difers for a year and then came back and finished the academic year. She again differed now for two years. The girl has not given up hope and has ventured into ma business where she takes the nylon paper bags that are disposed as waste, washes them and the make strands which she uses in crotcheting. Out of these materials, she makes bags, sandals and table marts which she sells to the tourists around the area. she saves the money for her fee.",USING WHAT YOU HAVE TO GET WHAT YOU WANT,Individual,,KITALE,Saw it happen,The right people,,Good idea that succeeded,,610
His parents left him when he was a very young. To date he does not know who the parents are. He is a Rwandan. The dad died in genocide and the mother in a refugee camp in Uganda. Was adopted by a Kenyan family (Luos)but the dad also died. The wife refused to be inherited and was sent back to her home leaving him homeless. Was then taken in by another Kenyan family (pastor) a friend to the family that had adopted him before and has now educated him to form four and is like there is no hope for even continuing to University,Agony of life,Individual,,,Heard about it happening,The right people,,Good idea that succeeded,,611
"Am Solomon Mkongolo, I was staying with my friend after  the death of my parents, before I joined college we were living in peace and respected one another. One day when I came from school, I found that the young man had decided to marry. We were shairing the bed and the house was a single room. That day I had nowhere to sleep but spent the night sitted. Next day I approached the dean of students and explained the to her my challenges. She decided to give me accomodation at university hostels.",Socially challenged empowered,Individual,,KAKAMEGA,Was affected by what happened,The right people,,Good idea that succeeded,,612
"Orphans usually suffer  in life, They are without parents and therefore miss parental love. They are always exploited and denied rights by either maternal relatives/patternal uncles depending on where they reside. I know of one friend who has been a source of inspiration to me and always make me know that their is hope in life. The name as I state here is Wayson Ambundo. He went through a very difficult life being denied food ever for more than three days by the step mother. This could not remove his interest from education He remained forcused and now will be joining college in September though still facing financial constraints. Well wishers helped him realise his ability",Poverty steers 20 year old to university,Individual,,,Unknown,Mixed,,Unknown,,613
Felix acquired a chance to study at Multimedia university college of Kenya early but could not due to school fees problems. A friend of him told him that its possible to defer his course and still do it come next intake instead  of losing this chance. For sure it worked he hopes to join college next year and is following up the HELB  fund to enable hi pay for his under graduate degree course.,My struggle in gaining knowledge,Individual,,SIAYA,Was affected by what happened,The right people,,Good idea that worked somewhat,,614
Felix acquired a chance to study at Multimedia university college of Kenya early but could not due to school fees problems. A friend of him told him that its possible to defer his course and still do it come next intake instead  of losing this chance. For sure it worked he hopes to join college next year and is following up the HELB  fund to enable hi pay for his under graduate degree course.,My struggle in gaining knowledge,Individual,,SIAYA,Was affected by what happened,The right people,,Good idea that worked somewhat,,615
"Cecilia Mwangi is the former Miss World Kenya and is involved in many charitable activities including the Anti-Jigger Campaign. Through this campaign, nearly a thousand people have benefitted, having their legs treated against the jiggers.",THE ANTI- JIGGERS CAMPAIGN,INDIVIDUAL,,SIAYA,Heard about it happening,The right people,,Good idea that worked somewhat,,616
Susan Anyago is the former Miss World Kenya and a student at the student at the Methodist University in Kenya. She has been involved in many charitable activities including the Dettol Handwash Campaign which is aimed at improving the level of hygiene in schools especially the public schools in rural areas.,THE DETTOL HANDASH CAMPAIGN,INDIVIDUAL,,SIAYA,Saw it happen,The right people,,Good idea that worked somewhat,,617
"Susan Anyango is the former Miss World Kenya and a student and a student at the Methodist University doing Media Studies. Despite her sudden rise to fame, her childhood wasn't the same. Susan lost both of her parents when she was still young being forced to live with her relatives but this didn't deter her from achieving her dreams of being a model and Miss Kenya. Her story has been a source of inspiration to many orphaned children.",THE SUSAN STORY,INDIVIDUAL,,NAIROBI,Heard about it happening,Mixed,,Good idea that worked somewhat,,618
"Unemployment is a major problem in the country and most of the tyme graduates are left tarmacing in search of employment. Brian after having finished his University education, he searched fro employment for nearly 11/2 years something which he regrets having had done because it was to no avail. Using his knowledge in mathematics and sciences ahe opened up a tuition center where he teaches secondary students during the holidays getting enough money to cater for his needs. He now eyes to start his own school and has vowed not to depend on being employed instead venture into enterpreneurship.",UNEMPLOYMENT FEVER,INDIVIDUAL,,SIAYA,Saw it happen,The right people,,Good idea that worked somewhat,,619
"Fred Onyango is a carpenter and also a student at Maseno University. Through his work he is able to raise school fees for himself, younger brother and also provide for his needs. This has helped him to be self reliant and also perfect his skills.",THE CARPENTER,INDIVIDUAL,,SIAYA,Heard about it happening,The right people,,Good idea that worked somewhat,,620
"At our village there lived aboy with his mother , his father had died two years back as the boy was  in his S.5 at a certain school. After completing S.6 during his vacation unfortunately his mother kicked a bucket. This made the boy so desperated and lost hope for continuing with his sturdies at the University because the boy had passed with 13 points at HSC. There was aman who was following the behaviours of this boy and this gentleman decided to take care of this boy and paid for his tuition at the University. The boy nois is in his final year.",HELPING AN ORPHAN,INDIVIDUAL,,KAMPALA,Saw it happen,The right people,,Good idea that succeeded,,621
This girl came from a poor family who had not afford school fees for her. Mr Sssmmanda Henry sponsored her from primary up University this girl and her family are living a good life now.,EDUCATION,INDIVIDUAL,,KAMPALA,Saw it happen,The right people,,Good idea that succeeded,,622
"I am Kwagala Deborah, I am an orphan with no mother and father. My father died when I was  seven months and my mother died when I was nine months.  I stayed with my grandmother from 9 months and I am now 19 years old, this grandmother of mine paid my school fees from nursery to P.7.  I was at church and a certain pastor came and knew about the situation I was passing through and he sponsored me from S.1 to university he provides me with everything I want.",Sponsorship,Individual,,KAMPALA,Saw it happen,The right people,,Good idea that succeeded,,623
"This is a young man who has just finished University, he had no job and the parents had given up in giving money and other needs, he tried to look for a job and he didn't find it anywhere.   So, he was helped by a certain man who gave him capital to start a small business which was a studio. He is working and things are going on well.",Capital giving,Individual,,KAMPALA,Saw it happen,The right people,,Good idea that succeeded,,624
"This is a University students who is being sponsored by an organisation, this girl wanted a laptop but the organisation could not afford it and no relative could afford also. She tried to send messages to different people requesting for a laptop, so one of  these people she sent to, decided to grant this girl's request and by now she has the laptop she wanted.",Kind Help,Individual,,KAMPALA,Helped make it happen,The right people,,Good idea that succeeded,,625
President Museveni has pledged a revolving fund of sh. 10b to support scientists and researchers at Makerere University. he made the pledge at the launch of celebrations to mark 90 years of University. This pledge will promote science a core basic for employment creation and development.,Pledge to support scientists.,Individual,,APAC,Heard about it happening,The right people,,Good idea that succeeded,,626
"I am Phionah, I am supported by my mother and have now reached University level but my mother at this moment is like giving up because of lack of enough money to support me and my other sisters and brothers, so if I can get someone to help me go ahead with my studies because I want  so much schooling.",Requesting for a sponsor,Individual,,KAMPALA,Saw it happen,The right people,,Good idea that worked somewhat,,627
"Dan was adored by many people in the community. The reason behind this was because he was a cool and respectful young man. When Dan went to university, probably he joined a group of croaks and his respectful nature started to distegrate time after time. His parents on realising this tried to counsel him of which he declared he had changed but too unfortunate, he did not take note of any point they deduced. They took him to a special guidance and counselling organisation but still they failed. He pretended to abind to the advice given. His schoolmates influenced him to start abusing drugs. After a short while he could inject drugs into his bloodstream. At long last Dan became mentally incapacitated and though the guidance and counselling organisation had tried its best it is vanity of vanity which brought a lot of depression to his parents.",Peer group influence,Individual,,KAKAMEGA,Saw it happen,The right people,"Food and shelter,Family and Friends,Self-esteem",Good idea that succeeded,,628
"Nyokabi an only child and left an orphan at an early age lived with her rich aunt Waithera atThika who took care of her. She completed her secondary education, by sheer accident she met young Njoroge who charmed her, she found comfort in him, soon they fell in love, Njoroge had to leave for further studies in the united states and promised to arrange for her to join him as soon as he settles down. He was to marry her afterwards. Immediately he reached united states, it is like everything he had promised had evaporated because he never kept his promise. After three years of waiting and letter writtings without no replies, she decided to move on with her life. She met an Asian whom they were in the university together and fell in lve. After courting for about one year, they decided to marry despite his parents challenges that why he marries an African yet there are several Asian ladies. Right now they are blessed with two children and living happily. Nyokabi was finally accepted in her husbands society despite meeting many challenges.",Love is blind,Individual,,Central/Nyeri,Saw it happen,The right people,"Food and shelter,Family and Friends,Self-esteem",Good idea that succeeded,,629
I would like to talk about an organisation called Bethlehem Community which is based under project called U-Kenya  Bethlehem community is situated in Kayole Soweto slum and its aim is to redeem hope in life and giving it back to the community it mostly deals with orphans and mentally disabled people and also suplies food to the community and sponsoring people for further studies e.g. university  This project also tried to change young people from idleness and thats why they created a library in bethlehem which was based under U-Kenya as the main sponsors and these atleast brought a change in the community,Oppotunity knocks at every man's door,Individual,,Nairobi,Saw it happen,The right people,"Physical Needs,Knowledge,Respect",Good idea that succeeded,,630
"Otoyo came from a poor family.  He was my school mate in primary school.  You could hardly detect the colour of his uniform due to so many different coloured patches.  He was looked down upon by many people.  Though he was a bright pupil, Otoyo did not work hard because he believed his parents lacked the ability to educate him any further.  One day l saw some students surrounding Otoyo and laughing at him because his short was torn unravelling the confidential secrets of his thighs, l ran over to him and l quickly picked up a log and dispersed the pupils.  I felt a glow of humanity burning in my heart.  Without even asking for permission, we went direct home and l did gave him a newly bought uniform.  I also asked him to work hard and if he happened to register a good grade he will have to join a secondary school like the others.  From then hence forth, Otoyo strengthened his hope and last year Otoyo was able to join a distingmished university leaving behind those who used to laugh at him",Poverty nor riches is not a choice,Individual,,Kisumu,Was affected by what happened,The right people,"Physical Needs,Knowledge,Respect",Good idea that succeeded,,631
"At our former school, there lived a very poor student boy who had completed his S6 (HAS course) but had no money to join the university because the course he wanted was more expensive.  But the director of our school felt sorry for him and he promised to give him almost 85% of his school fees.  He joined the university and after 3 years he completed his 1st year.",Help a poor student,Individual,,Mbarara,Saw it happen,The right people,"Physical Needs,Knowledge,Respect",Good idea that succeeded,,632
As a student in the university. I have always loved just to reach out for people encourage them. I remember this year in February  we visited God. We spoke the gospel of Christ them ate together with them and celebrated  together with them.   I remember some of them who had really been discouraged in life coming and appreciating us for the visit which had really encouraged them and given them hope.,CHANGING LIVES,Individual,,Busia,Helped make it happen,The right people,"Family and Friends,Knowledge,Self-esteem",Good idea that succeeded,,633
"Giving hope is that i believe i was born to do.I remember early this year  i met a man by the name Leornard.He was really down because since he left the university ten years ago, he had never got a job.   He even hated life and was thinking about committing suicide.I talked to him and shared with him how life was full of opportunities .I opened his eyes and told him that not all great people or rich peopld were the ones in the offices.I asked him why he really focused on being employed rather than doing something that you will employ people.       He got out of that place full of ideas and with  the little money he had he began a business the following month in February and he  has                                  great hopes that before the end of the year his business will be great.",GIVING HOPES,individual,,Busia,Helped make it happen,The right people,"Family and Friends,Knowledge,Self-esteem",Good idea that succeeded,,634
"It was the month of March when a friend came to me and asked me to give him my laptop so that he could do some research about an assignment that their lecturer had given them.     I agreed to help him but little did i know that he was going to sell my laptop in order to get some money for his up keep  in the university.   After two days, i went to him asking him to give me my laptop but he denied that i had given him my laptop.    I felt hearted and pained but it was all gone just like that since i had no witnesses to support me.",LAPTOP,Individual,,Busia,Was affected by what happened,Nobody,"Family and Friends,Knowledge,Self-esteem",Good idea that failed,,635
"We had gone through a lot of trouble just to make sure that our daughter joined university.We even sold our own piece of land which was the only piece of land remaining in my hands just to ensure that my daughter Gloria stepped in a university class and fulfill her dream of  joining a university.   After doing every thing, on the very day of going to be admitted that is early this month  of May.She got invlved  in a road accident and died killing all my hope  and my dreams",BURIED HOPE,Individual,,Busia,Was affected by what happened,The right people,"Family and Friends,Knowledge,Self-esteem",Good idea that failed,,636
"My grandmother died when i was young and i remained with only the father. I liked my father so much and he also liked me and he could pay my school fees and he gave me everything i wanted in life. My father taught me from nursery but as i was in my second year at the university my father died. Someone stood in the gap to sponsor me as my father was doing so i thank, God so much.",paying school fees,Individual,,KAMPALA,Saw it happen,The right people,"Family and Friends,Knowledge,Self-esteem",Good idea that succeeded,,637
We greatly ezxtend our sincere thanks and appreciation to the king of Buganda who has given us bursaries in his private university Mutesa I University irrespective of the unfavourable political government/environment to the Buganda government which he did not forcase on we thank him so much.,Enabling students and university life,Individual,,MBARARA,Saw it happen,The right people,"Food and shelter,Security,Knowledge",Good idea that succeeded,,638
Rebecca sometimes feels so lonely when she was in university the way she carelessly caught AIDS. She recalls when hooked up with college sweetheart a few years ago. They would only meet in his cube for sex. This wasn't what we formerly had but before I knew it I was sex girl and I wasn't supposed to complain. Some nights we would have sex then i would take a shower and leave. This happened for almost a year before she came to her senses. I am now reaping what I sow. I advice young and old be careful not end up like me. Say Rebecca.,Carelessness,Individual,,Nairobi,Was affected by what happened,The right people,"Food and shelter,Security,Knowledge",Bad idea,,639
Edina and his brother Brian were left by their parent through tragic road accident. They have been trying day and night for their survival. People how knew their parents really helps them. It was 6months ago Edina lost again her only brother Brian. Edina says it were possible to be given just one more day before your loved one goes away. Painfully her brother died through road accident. May God give Edina courage and grace to face. Edina is now a student at Nairobi University. She builds hopes to others after what he went through.,Face the world with courage,Individual,,Nairobi,Saw it happen,The right people,"Food and shelter,Security,Knowledge",Bad idea,,640
"My parent were university lecturers. When they were alive I attended a private school, called Acacia Academy. After my parent died, I lived with my uncle for two years. Life was a living hell. That when sister Catherine and sister Anne took me to live at Mimose place.",A living hell,Individual,,NAIROBI,Helped make it happen,The right people,"Food and shelter,Security,Knowledge",Bad idea,,641
Judith is a law student at the university of Nairobi. She readily admits that she is gay and sees nothing wrong with it. In her family they have never agreed with her. She is alway in serious problems with her parents and siblings who look at her as if she was a bad omen in the family.,Judith the lesbian,Individual,,Nyeri,Unknown,Nobody,"Food and shelter,Security,Knowledge",Bad idea,,642
"I am a young Kenyan aged 24 and at the University of Masinde Muliro. I am a partial orphan who has been rejected by all the relatives including my dad who rejected me when I was still very young and who if I see today cannot recall his face. Life has showed me its real face in that I worked as a house help in Nairobi at 10 years. My boss back in Nairobi used to frustrate me and caning me everytime. At night I would use the door mat as my mattress and would always eat in the kitchen. A well wisher who was also barren sympathised with my situation and took me to Ruiru to work for her sister for three months after which I got my fair and travelled to kakamega to my aunts place since I could not face my mom in Migori before she died. She was also working as a house help. In Kakamega my aunt took me in till the time I was to finish my primary education. I prayed for God to work out a miracle. My aunt allowed me to finish but then sent me back to my grandmothers place. That's where a well wisher took me as her own daughter, took me to his secondary school and now is paying my University fees. I am a PSSP student. Finishing my fourth year in 2013.",God sent,Individual,,Kakamega,Helped make it happen,The right people,"Food and shelter,Security,Knowledge",Good idea that succeeded,,643
"Maina is a software engineer and a graduate from the University of Nairobi. Following his graduation, he found it difficult to find any source of employment before he decided to venture into enterprenuership and he made a software that could enable one to trace his/her ideas. This has proved to be a success story in the market and also has provided him with a source of livelihood.",Software Knowledge,Individual,,Nairobi,Heard about it happening,The right people,"Knowledge,Self-esteem,Fun",Good idea that worked somewhat,,644
Professor Calestous Juma is a scholar at the Harvard University of the USA. He recently came to Kenya and held a talk at the Jomo Kenyatta University of Agriculture and Technology where he advised the students to be enterprenuers instead of being employees. This is aimed at reducing the rate of unemployment once the graduates leave into the world. He gave out different tips on how to start a business. It was well taken in by the students.,Be enterprenuers,Individual,,Nairobi,Heard about it happening,The right people,"Knowledge,Self-esteem,Fun",Good idea that worked somewhat,,645
A university student was stripped naked by a mad man in Kakamega town drawing attention to hundreds of matatu operators in the area.All were staring at her laughing and mocking the dressing code from university students.A non from catholic of Maseno located in town came for rescue and covered her using her garment.,University student stripped naked by s mad man,Individual,,Kakamega,Saw it happen,The right people,"Physical Needs,Creativity,Fun",Good idea that succeeded,,646
"I had just gone to the university mess and i was feeling tired and hungry. I ordered my meals and just as i was leaving going to take the meals after being given my receipt, a certain guy asked me to give him a change of two hundred shilling note. I hurriedly gave him two one hundred shillings notes and took the two hundred shillings notes.    The following day i went to the university tuck shop to buy a loaf bread with the same two hundred shillings notes that the guy had given to me only to be told it was fake note. Oooh my i felt bitter pained and at the same time fooled.",CORNED,Individual,,KAKAMEGA,Was affected by what happened,The wrong people,"Food and shelter,Self-esteem,Freedom",Bad idea,,647
Tracy was a year old when her single mother was murdered. She is being taken care of by her aunty who is in Kenyatta university. She has decided to take her with her. She is going to live with her in the hostels in order to take care of her and attend her classes as well.,Tracy a victim of murder,Individual,,Nairobi,Saw it happen,The right people,"Food and shelter,Self-esteem,Freedom",Good idea that succeeded,,648
"I had just come back from the university for my long holiday vocation and when I arrived home , I felt sick and from the sighs I straight knew that I was sick of malaria. My parents were good enough to give me some cash to buy drugs but because of my stupidity I instead spent the money on buying credit for my phone.   One week later, the situation was worse and was admitted in ward and when diagnosed, it was found that I had Malaria C+++.",ADMITTED,Individual,,BUSIA,Was affected by what happened,Mixed,"Family and Friends,Physical Needs,Freedom",Unknown,,649
"I had just come back from the university for my long holiday vocation and when I arrived home , I felt sick and from the sighs I straight knew that I was sick of malaria. My parents were good enough to give me some cash to buy drugs but because of my stupidity I instead spent the money on buying credit for my phone.   One week later, the situation was worse and was admitted in ward and when diagnosed, it was found that I had Malaria C+++.",ADMITTED,Individual,,BUSIA,Was affected by what happened,Mixed,"Family and Friends,Physical Needs,Freedom",Unknown,,650
The world today is full of tricks and games on how to get money.  I remember early in the month of March this year a certain businessman called for a fundraising to raise funds to support her son's education for a degree course in one of our local universities.      Guest came and well wishers and without grieve fundraised a tune of three hundred and fifty four thousand seven hundred and thirty shillings. Many thought that now the son will be able to join university but unfortunately the businessman took all the money and invited in his own business.,BLACKMAILED,Individual,,BUSIA,Saw it happen,The right people,"Family and Friends,Physical Needs,Freedom",Bad idea,,651
"Early this year, life was not so  easy to me given that previously I had just impregnated my girlfriend and the baby had been born in December.    My financial status were not so good to ensure my girlfriend and the baby were fine and this stressed me so much given the fact that I also had to concentrate on my studies as i was preparing for my final exams in the university.     After thinking on what to do . I decided to seek for help from my friend Mage who supported me both morally and financially and today.     I owe my success to him.",GOOD FRIEND,Individual,,TESO,Was affected by what happened,Mixed,"Family and Friends,Physical Needs,Freedom",Good idea that succeeded,,652
My aunt had good qualifications to join a good university but she insisted in doing her personal business. After sometimes family members decided to her go.   Today she is weak and she has contracted HIV/AIDS which makes her to regret,BAD PLAN,INDIVIDUAL,,KITALE,Saw it happen,The right people,"Family and Friends,Physical Needs,Freedom",Good idea that failed,,653
I was a university student and was not doing well but recently i came up with ways of getting a good certificate by the end of these month. As days went by i started seducing the lecturer. I would go to their offices and get their attention most of them gave in and i have been able to secure the top position in the examination that i have been doing and i know the end of these term i will pass.,the exams,Individual,,Busia,Was affected by what happened,The wrong people,"Food and shelter,Physical Needs,Respect",Bad idea,,654
I had secured a place at the university but i did not have money for the admission. I Was so much worried because all my friends had all joined i was the only one left at home. As days went by i felt frustarted because my parents could not get me a place at the university. However I was very happy when my boy friend came and told me that he could educate me. I was so happy. i have now joined and he is taking care of my education,My boy friend,Individual,,Nambale,Was affected by what happened,The right people,"Food and shelter,Physical Needs,Respect",Good idea that succeeded,,655
"Felix was forced to bear all the hardships when his parents separated nearly two years ago, this saw his performance back at school drop and he didn't perform as he had expected in the national exams. Rights now he doesn't even know how he will go to the university given his outstanding fee balance back at Upper Hill School which is approaching six digits. But all that Felix has is the love for his four brothers which keeps him going and hopeful of a better future. He hopes that he will be able to clear his huge fee balance before joining the university",Despite All,Individual,,NAIROBI,Was affected by what happened,Nobody,"Food and shelter,Physical Needs,Respect",Bad idea,,656
"For many candidates who passed their KCPE are looking forward to joining National Schools this was the case of Felix but despite his high marks he was forced to join a less performing school compared to the one he was hoping to be admitted. And that's not all, he even lost a scholarship to learn at Bookers Academy. That was nearly four years ago but he still hasn't recovered from that outcome. Right now he is waiting to be admitted to the University despite his average performance. However he tries to encourage his younger brother who is due to sit for KCPE in two months not to lose hope but to work hard in order for him to go to a National school one which he failed to join.",Being Hopeful Despite all.,Individual,,NAIROBI,Was affected by what happened,Nobody,"Food and shelter,Physical Needs,Respect",Bad idea,,657
"For many candidates who passed their KCPE are looking forward to joining National Schools this was the case of Felix but despite his high marks he was forced to join a less performing school compared to the one he was hoping to be admitted. And that's not all, he even lost a scholarship to learn at Bookers Academy. That was nearly four years ago but he still hasn't recovered from that outcome. Right now he is waiting to be admitted to the University despite his average performance. However he tries to encourage his younger brother who is due to sit for KCPE in two months not to lose hope but to work hard in order for him to go to a National school one which he failed to join.",Being Hopeful Despite all.,Individual,,NAIROBI,Was affected by what happened,Nobody,"Food and shelter,Physical Needs,Respect",Bad idea,,658
"Violet is a student who is schooling abroad.  She get her Scholarship while in High School.  She excelled in High School and joined Nairobi University.  After finishing her course at the University of Nairobi, She went to work abroad as well as continuing learning.  She has sponsored students in high School and she caters for their education herself.  This is inspiring because she now has the capacity to help others.  She is now actually a doctor.  These students are therefore able to pursue their Secondary School education through Violet.  Thanks to her and God for enabling her to reach where she is now.",DO TO OTHERS WHAT YOU HAVE BEEN DONE FOR.,INDIVIDUAL,,NAIROBI,Was affected by what happened,Nobody,"Knowledge,Creativity,Self-esteem",Good idea that succeeded,,659
"After one of the television networks broadcasted me in the news, i finally got sponsors who were ready to sponsor my university education.They paid the fees needed and helped join the University of Nairobi this year as a May intake student something that i never thought would come to pass given that i was an orphan and was coming from a very poor familly.   I really thanked God for STEP TV and the sponsors who have been of great help to me.",HIGHLIGHTED,individual,,BUSIA,Was affected by what happened,The right people,"Security,Respect,Self-esteem",Good idea that succeeded,,660
"Felix sat for his exams(KCSE) last year and performed well despite facing many challenges in his life one of them being school fees problems which saw him most of the times out of school. All these didnt deter him from doing well in school, right now he is expecting to join our local universities any time from now,but the challenge is how he has not even cleared his huge balance back at his former school,he comes from a broken marriage and his parents are not stable.He hopes for a miracle to happen,not to be barred off from university intake for lack of producing his KCSE results which is held at former school.",BORN TO SUFFER,INDIVIDUAL,,NAIROBI,Was affected by what happened,The right people,"Security,Respect,Self-esteem",Good idea that failed,,661
"One thing i had always desired was to join a university and do a degree course. I did not have any money to facilitate this or to make my vision come true and so i kept on trying and trying to see that my dream comes true.     In march this year, my friend Brosilla came to me with sponsorship forms from a certain organisation operating here in Busia. I applied for the sponsorship which i believe that things will go well and by December this year  I will be doing a degree course.",SPONSORED,Individual,,BUSIA,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,662
"When I wad in the university I made a decision never to marry a university lady because i believed they had very bad manners and they were full of pride.    So when i was about to marry my mother warned my about my decision not marry a good lady from the university. She was very much against my decision and constantly told me that it was even more worse to marry a girl from the village who was illeterate.    In march I married a simple lady from the village who had just finished class eight in 2000. We struggled from the very day we got married and only two and half months later, we separated because the situation grew worse day by day.",VILLAGE GIRL,Individual,,BUSIA,Was affected by what happened,Mixed,"Food and shelter,Family and Friends,Physical Needs",Bad idea,,663
"One thing i had always desired was to join a university and do a degree course. I did not have any money to facilitate this or to make my vision come true and so i kept on trying and trying to see that my dream comes true.     In march this year, my friend Brosilla came to me with sponsorship forms from a certain organisation operating here in Busia. I applied for the sponsorship which i believe that things will go well and by December this year  I will be doing a degree course.",SPONSORED,Individual,,BUSIA,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,664
"One thing that i have proved to be true is that when you educated a girl you have educated the whole family.    After my daughter Sheilla got a job last year in December, she has helped lift the burden of school fees from me as she pays her brothers school fees including her follower who is at Kenyatta University and in third year.    Her committment to ensure that her brothers also further their education and be successful is something that makes very proud of her.",SHEILLA,Individual,,TESO,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,665
"One thing i had always desired was to join a university and do a degree course. I did not have any money to facilitate this or to make my vision come true and so i kept on trying and trying to see that my dream comes true.     In march this year, my friend Brosilla came to me with sponsorship forms from a certain organisation operating here in Busia. I applied for the sponsorship which i believe that things will go well and by December this year  I will be doing a degree course.",SPONSORED,Individual,,BUSIA,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,666
Its March this year and elections are being done in our university. As a chief campaigner of Naomi we are doing alot of sacrifices to see that she goes through.   We even go as far as digging deep into our pockets so as to raise funds. Everything is set and we have enough funds but the obstacle before us is the mentality of the student community who believe that a lady can never be the students president and so we try all we can to change their thoughts but despite our attempts to help Naomi win the elections the mentality plays a big role to make her loose the elections to a man who has no ability to lead but just because he is a man the vote falls on him.,STUDENTS ELECTION,Individual,,MASENO,Saw it happen,Mixed,"Food and shelter,Family and Friends,Physical Needs",Good idea that failed,,667
"When i had finished my university degree and had graduated, there was no job. I tried to knock on every door of an office and even apply for the advised jobs but all was in vain.   After two years of struggling, a friend of mine got me an idea of a good business opportunity which was to start rearing hens. It was a very good idea and so i looked for around one thousand shillings and bought a cock and and a hen and with time they multiplied and already by now since December last year, i have ten of them with lots of eggs around which i sell at times to get some money for a living.",THE BUSINESS OPPORTUNITY,Individual,,BUSIA,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,668
"One day. a lady in Kakamega town decided to pick an orphan (total shanga) to stay with her while educating her. The orphan was a girl who had no parents but with relatives who were poa. The lady took this child as her own. She educated her to farm tow. She performed very well in KCSE. She later joined a University. the lady used advice her on social life and always told her of peer influence. She always told her to be careful the girl used to promise to be careful but once in the University, her manners changed and did not even go home for holidays. It was later brought to light that she aborted severally from different boyfriends to an extend she got infected with HIV/AIDS. The lady cried alot buts its good that she had played her role.",Life is not a Rehearsal,Individual,,Kakamega,Saw it happen,Nobody,"Food and shelter,Family and Friends,Physical Needs",Good idea that should have worked but did not,,669
"Jean's family has been very good friends of mine i had no place to stay and they took me in. She had a maid that was still under age and so there was the girls wont that filled the case facing them to be going there every friday to listen at the proceedings. This lady later turned on me. She used to enter the house if with goodies and told her to speak evil of me. The husband Trusted me. I loved their chilren and everyone else and humbled a lot because i had no other place to go. The girl then started to give wrong reputs to the husband of that house making him hate me. Wheneva i could go to kitchen to cook, te husband would go behind the house to look at me and see if i was eating the food in the kitchen. If i washed clothes, the lady would wait imediately after i have put them on clothes fine, she would come and sock them again. They later told me not to do anything in that house. Wheneva the lady was sick the husband would wash their clothes yet am there. It was a bad pietwee They goaleled me everyday only to realize that the lasy felt bad i had joined a nearby University.",Jealous,Individual,,Kakamega,Helped make it happen,The wrong people,"Food and shelter,Family and Friends,Physical Needs",Good idea that should have worked but did not,,670
I was doing my last semester in the university between January and April this year  but upto 15th of February i had not yet paid even a single ant in my school all yet the fee payment deadline was on the 17th of February.      I could not imagine failing to register for  the semester bacause that meant that i finishing my forth year next year in April.       I really called people to support me and one thing came to me.I went to the parliament buildings  and spoke to my   area MP Honourable Chris Okemo who straight away went with me to the bank and paid the entire fees needed that semester.       I was very delighted and thanked God for the miracle.,THE YEAR OF COMPLETION,Individual,,BuSIA,Was affected by what happened,The right people,"Food and shelter,Security,Family and Friends",Good idea that succeeded,,671
